,text,start,duration
120,"And this outdoor shower
situation I have is amazing.",354.36,3.69
121,"Outside of my room,",358.05,0.87
122,I have a little private courtyard,358.92,1.68
123,with all of the bathroom things,360.6,2.13
124,and there's this rain shower.,362.73,1.38
125,"I came out here at like
9:00 PM last night.",364.11,3.15
126,It was like still 80 degrees,367.26,2.1
127,"and I stood under this shower,",369.36,1.53
128,and it was perfection.,370.89,1.5
129,If you've never stayed somewhere,372.39,1.32
130,"with a private outdoor shower like this,",373.71,2.22
131,"you need to add it to your bucket list,",375.93,1.29
132,but it needs to be somewhere tropical.,377.22,1.89
133,"I've stayed at places in the
desert with outdoor showers,",379.11,3.45
134,but it cools off so much at night,382.56,2.1
135,"that like in the early
morning or late at night",384.66,2.07
136,"when you would typically take a shower,",386.73,2.04
137,it's kind of too cold to be pleasant.,388.77,2.7
138,But when it's tropical and it's still warm,391.47,1.8
139,"at night or in the morning, it's amazing.",393.27,2.43
140,And then this morning I got up at sunrise,395.7,1.92
141,"and swam in the pool and I'm
just having the best time.",397.62,3.328
142,(light upbeat music),400.948,3.083
143,"Next, we drove to a spot nearby",409.95,1.95
144,for a village experience,411.9,1.56
145,where I got to visit some local homes,413.46,1.83
146,"and learn a little
about their way of life.",415.29,1.98
147,They showed me how they produce goods,417.27,1.71
148,"like woven palm shades,",418.98,1.56
149,"and I got to see how they fashioned ropes,",420.54,1.77
150,which was really incredible.,422.31,1.5
151,This took them less than a minute to make,423.81,1.59
152,"from a coconut husk, and it's so strong.",425.4,2.55
153,"Wow, that's incredible.",427.95,3.33
154,I also got to see this really cool,431.28,1.74
155,coconut tree climbing device.,433.02,1.83
156,"And then we headed to
the Marari beach resort",434.85,2.91
157,"on the ocean which is a
really beautiful property.",437.76,2.588
158,They also place a strong emphasis,440.348,2.032
159,on sustainable tourism.,442.38,1.56
160,And they have this tea cart,443.94,2.01
161,"where a woman makes
what's called meter chai,",445.95,2.97
162,because it's poured from a meter high.,448.92,2.4
163,And she was so good at this.,451.32,1.62
164,The resort is especially,452.94,1.17
165,known for its Ayurvedic medicine center.,454.11,2.13
166,"And of course, the beach.",456.24,1.32
167,"The sunset over the
Arabian Sea was incredible.",457.56,3.002
168,(light upbeat music),460.562,3.083
169,"Well, this is it for my time in India.",466.2,1.86
170,"I'm back where I started
in the city of Kochi.",468.06,2.79
171,"I didn't really know what to
expect before coming here.",470.85,2.28
172,"Actually, my guide and I
were talking about this.",473.13,1.62
173,"He said a lot of the world,
especially Americans,",474.75,2.43
174,"when they think of India,",477.18,0.9
175,"they just think of the Taj
Mahal and nothing else.",478.08,2.25
176,"Where in reality, it's
actually quite a large country",480.33,2.43
177,with a lot of other things in it.,482.76,1.56
178,"So I didn't come here
with a lot of expectations",484.32,2.28
179,"which is sometimes the best
way to experience a new place.",486.6,3.0
180,And I loved the scenery.,489.6,2.07
181,I loved the foggy mountainous hills,491.67,2.52
182,and the tranquil backwaters.,494.19,2.1
183,If you are planning a visit to Kerala,496.29,1.74
184,and you're interested in doing,498.03,1.74
185,"kinda like a road trip
through the state like I did,",499.77,2.52
186,"my number one tip would
be to book a guided tour.",502.29,3.9
187,"About an hour into the tour,",506.19,1.71
188,I realized there was no way,507.9,1.8
189,"I ever would've been able
to navigate it by myself.",509.7,3.09
190,"So definitely if you're
planning to come here",512.79,1.71
191,"and move around a lot, I
would totally do a tour.",514.5,3.12
192,"Thanks for coming along
with me on this one.",517.62,1.86
193,"I hope you all are doing well,",519.48,1.83
194,and I will see you next time.,521.31,2.01
195,Bye.,523.32,0.833
196,(light upbeat music),524.153,3.077
